--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.196  000.195: event init
000.741  000.545: early init
001.834  001.093: locale set
001.875  000.041: init first window
002.828  000.953: inits 1
002.848  000.020: window checked
002.851  000.003: parsing arguments
003.465  000.033  000.033: require('vim.shared')
003.534  000.027  000.027: require('vim.inspect')
003.566  000.026  000.026: require('vim._options')
003.568  000.099  000.046: require('vim._editor')
003.569  000.157  000.025: require('vim._init_packages')
003.571  000.563: init lua interpreter
006.209  002.638: expanding arguments
006.226  000.017: inits 2
006.456  000.231: init highlight
006.477  000.020: clear screen
006.588  000.011  000.011: require('vim.keymap')
007.438  000.198  000.198: sourcing nvim_exec2()
007.683  001.202  000.992: require('vim._defaults')
007.685  000.006: init default mappings & autocommands
009.681  000.199  000.199: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/ftplugin.vim
010.004  000.178  000.178: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/indent.vim
013.138  001.717  001.717: require('lazy')
013.222  000.039  000.039: require('ffi')
013.268  000.029  000.029: require('vim.fs')
013.871  000.599  000.599: require('vim.uri')
013.895  000.671  000.042: require('vim.loader')
014.366  000.453  000.453: require('lazy.stats')
014.802  000.397  000.397: require('lazy.core.util')
015.152  000.350  000.350: require('lazy.core.config')
015.845  000.301  000.301: require('lazy.core.handler')
016.831  000.332  000.332: require('lazy.pkg')
016.835  000.680  000.348: require('lazy.core.meta')
016.841  000.995  000.315: require('lazy.core.plugin')
016.850  001.696  000.401: require('lazy.core.loader')
018.188  000.228  000.228: require('lazy.async')
019.376  000.502  000.502: require('lazy.manage.process')
019.685  000.308  000.308: require('lazy.terminal')
019.692  001.502  000.692: require('lazy.manage.task')
019.694  001.992  000.262: require('lazy.manage.runner')
019.696  002.295  000.303: require('lazy.manage')
019.699  002.687  000.393: require('lazy.view.commands')
020.012  000.293  000.293: require('lazy.core.fragments')
022.501  000.258  000.258: require('lazyvim.util.deprecated')
022.509  000.532  000.274: require('lazyvim.util')
